2026-03-08 11:01:04.678 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2026-03-08 11:01:04.793 [main] INFO  net.maku.ServerApplication - Starting ServerApplication using Java 23.0.2 with PID 25420 (D:\study-projectv4.9.0_00\maku-boot-v4.9.0\maku-server\target\classes started by l in D:\study-projectv4.9.0_00\maku-boot-v4.9.0)
2026-03-08 11:01:04.795 [main] INFO  net.maku.ServerApplication - The following 1 profile is active: "dev"
2026-03-08 11:01:07.962 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-08 11:01:07.967 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-03-08 11:01:08.166 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 171 ms. Found 0 Redis repository interfaces.
2026-03-08 11:01:10.385 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-03-08 11:01:10.412 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-08 11:01:10.414 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-03-08 11:01:10.415 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2026-03-08 11:01:10.683 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-08 11:01:10.683 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5785 ms
2026-03-08 11:01:11.068 [main] INFO  org.redisson.Version - Redisson 3.21.3
2026-03-08 11:01:11.623 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2026-03-08 11:01:11.661 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2026-03-08 11:05:10.867 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2026-03-08 11:05:10.988 [main] INFO  net.maku.ServerApplication - Starting ServerApplication using Java 23.0.2 with PID 14860 (D:\study-projectv4.9.0_00\maku-boot-v4.9.0\maku-server\target\classes started by l in D:\study-projectv4.9.0_00\maku-boot-v4.9.0)
2026-03-08 11:05:10.989 [main] INFO  net.maku.ServerApplication - The following 1 profile is active: "dev"
2026-03-08 11:05:14.319 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-08 11:05:14.324 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-03-08 11:05:14.528 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 175 ms. Found 0 Redis repository interfaces.
2026-03-08 11:05:16.752 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-03-08 11:05:16.781 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-08 11:05:16.784 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-03-08 11:05:16.785 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2026-03-08 11:05:17.009 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-08 11:05:17.009 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5906 ms
2026-03-08 11:05:17.392 [main] INFO  org.redisson.Version - Redisson 3.21.3
2026-03-08 11:05:17.962 [redisson-netty-2-5] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for localhost/127.0.0.1:6379
2026-03-08 11:05:18.058 [redisson-netty-2-20] INFO  org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for localhost/127.0.0.1:6379
2026-03-08 11:05:18.542 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
